iter	Passed	Remaining
0	11	8799
1	21	8708
2	27	7300
3	35	7090
4	47	7623
5	57	7652
6	62	7056
7	71	7103
8	76	6694
9	83	6633
10	94	6745
11	103	6816
12	114	6959
13	124	7013
14	135	7105
15	144	7084
16	153	7075
17	164	7140
18	173	7141
19	183	7159
20	193	7165
21	201	7138
22	210	7125
23	219	7097
24	231	7162
25	239	7142
26	248	7126
27	256	7069
28	267	7099
29	276	7092
30	286	7099
31	296	7123
32	303	7064
33	315	7113
34	326	7133
35	336	7146
36	346	7153
37	357	7171
38	369	7204
39	379	7216
40	390	7234
41	399	7210
42	406	7157
43	418	7189
44	428	7197
45	437	7177
46	447	7167
47	460	7212
48	472	7240
49	479	7191
50	489	7185
51	498	7165
52	508	7161
53	517	7142
54	527	7149
55	537	7145
56	547	7140
57	559	7151
58	569	7150
59	580	7154
60	591	7166
61	603	7184
62	612	7169
63	624	7181
64	634	7169
65	644	7169
66	656	7177
67	667	7187
68	677	7181
69	688	7179
70	698	7170
71	709	7172
72	718	7152
73	728	7149
74	741	7163
75	751	7161
76	763	7166
77	774	7173
78	785	7166
79	795	7158
80	805	7148
81	817	7154
82	828	7158
83	839	7154
84	851	7162
85	861	7150
86	871	7138
87	882	7144
88	891	7124
89	901	7114
90	913	7113
91	922	7102
92	931	7082
93	942	7078
94	952	7069
95	962	7061
96	972	7048
97	981	7031
98	991	7017
99	1001	7007
100	1010	6995
101	1022	6999
102	1032	6987
103	1042	6975
104	1053	6971
105	1065	6972
106	1075	6968
107	1086	6961
108	1091	6921
109	1102	6916
110	1113	6910
111	1123	6902
112	1130	6875
113	1143	6878
114	1153	6868
115	1163	6860
116	1173	6851
117	1186	6856
118	1195	6842
119	1204	6824
120	1215	6823
121	1226	6815
122	1235	6802
123	1244	6783
124	1254	6776
125	1266	6773
126	1277	6772
127	1286	6756
128	1297	6751
129	1309	6747
130	1320	6742
131	1330	6734
132	1339	6719
133	1349	6706
134	1359	6698
135	1372	6699
136	1382	6689
137	1393	6684
138	1403	6676
139	1415	6671
140	1426	6665
141	1436	6657
142	1447	6650
143	1458	6644
144	1470	6644
145	1482	6641
146	1492	6627
147	1500	6611
148	1511	6603
149	1523	6603
150	1534	6593
151	1543	6581
152	1553	6570
153	1564	6563
154	1576	6558
155	1588	6556
156	1598	6545
157	1608	6534
158	1619	6527
159	1628	6515
160	1638	6503
161	1647	6486
162	1657	6475
163	1669	6472
164	1679	6462
165	1690	6455
166	1701	6447
167	1712	6442
168	1721	6426
169	1728	6407
170	1737	6389
171	1746	6374
172	1756	6365
173	1768	6364
174	1779	6356
175	1790	6347
176	1800	6336
177	1810	6324
178	1821	6317
179	1830	6306
180	1840	6295
181	1850	6284
182	1860	6272
